,name,app_desc
46,The Simpsons™: Tapped Out,"THIS GAME IS LIFE-RUININGLY FUN!
From the writers of The Simpsons, comes the city building game that lets you create your own living, breathing Springfield! When Homer accidently causes a meltdown that wipes out Springfield, it’s up to you to clean up his mess… we mean, help him rebuild it!
                                                                                                                                                                                           Collect Your Favorite Characters                                                                                                                  
Help reunite Homer with his loved ones - Marge, Lisa, Maggie (and even sometimes Bart) – as well as his not so loved ones, like Ned Flanders. Re-populate Springfield with your favorite characters, from Barflies (Barney Gumble) to Wise Guys (Fat Tony). Add them all, we won’t judge! Dress your characters to the nines with options like Daredevil Bart or Lizard Queen Lisa, and relive scenes from your favorite episodes of The Simpsons!
                                                                                                                                                                                                               Take Charge of Your Springfield
Can’t control your own life? Now you can control the lives of the citizens of Springfield instead! Make Apu work ridiculously long shifts at the Kwik-E-Mart, have Moe smuggle illegal animals, or make Homer toil poolside all day… that last one might not be so bad.
                                                                                                                                                                                                  Build Your Own Springfield
Think Homer deserves to live next door to Moe’s? Or the monorail can survive a few more sharp twists and turns? Or Krustyland needs 40% more cartoon violence and 40% fewer health inspectors? Well you can finally make Springfield just the way you want it! Expand your town to the Waterfront, grow its businesses with the glamourous shops of Springfield Heights, and enjoy its sights, all with only a few taps.

Experience Unique Simpsons Stories
Catch exclusive animated scenes and new hilarious stories from the writers of The Simpsons. You know they’re good because they write for The Simpsons! Tapped Out is the most life-ruiningly fun Simpsons game you can play! 
                                                                                                                                                                                                      Always Something New for Your Favorite Town
Springfield might perpetually be on the verge of destruction, buy hey, at least it’s never boring. Whether it’s Halloween monster invasions, superheroes run amok, or chaos caused by one of Homer’s “great” ideas, you’ve got never-ending options to tap!

Requires acceptance of EA’s Privacy & Cookie Policy and User Agreement.
User Agreement: terms.ea.com"
47,Angry Birds Space HD,"The #1 mobile game of all time blasts off into space!

Play over 300 interstellar levels across 10 planets – including our very own Solar System!

Whether it’s the icy orbs of Cold Cuts, the volcanic explosiveness of Red Planet, Utopia – a planet made entirely of junk food, or even our own Solar System, each episode offers intergalactic fun at every turn! And the low-gravity environment of space results in spectacular gameplay ranging from slow-motion puzzles to lightspeed destruction. With brand new birds, special abilities, and a whole galaxy to explore, the sky is no longer the limit!

-----

“Intergalactic phenomenon worth every penny” – AppCraver

“Takes the fundamental physics-based flinging of the original and turns it on its head... It's satisfying, yet completely familiar, and is heaps of pig-smashing fun.” – Gamespot

“Anyone burnt out on vanilla bird flinging will enjoy the game's out-of-this-world adventure.” -- IGN

-----

- Over 300 interstellar levels!
- New playable characters!
- Unique special abilities for each bird!
- Zero-gravity space adventures!
- Trick shots using planets’ gravity!
- Hidden bonus levels!
- Beautifully detailed backgrounds!
- Daily Missions!

-----

Join the global phenomenon as it goes galactic!

Become a fan of Angry Birds on Facebook:
http://facebook.angrybirds.com

Follow us on Twitter:
http://twitter.angrybirds.com

Terms of Use: http://www.rovio.com/eula
Privacy Policy: http://www.rovio.com/privacy

This application may require internet connectivity and subsequent data transfer charges may apply.


Important Message for Parents

This game may include:
- Direct links to social networking websites that are intended for an audience over the age of 13.
- Direct links to the internet that can take players away from the game with the potential to browse any web page.
- Advertising of Rovio products and also products from select partners.
- The option to make in-app purchases. The bill payer should always be consulted beforehand."
48,"Muscle Premium - Human Anatomy, Kinesiology, Bones","The most comprehensive 3D musculoskeletal reference this side of a dissection lab.

- Incredible 3D gross human anatomy models: Over 600 muscles and more than 200 bones. 2,200 origin and insertion points detail muscle attachments. Paint on bone shows surface areas of muscle attachments. Includes hundreds of 3D models of muscles, bones, ligaments, bursae, and nerves.                                                    

- Interactive 3D muscle actions: We've got over 60 of these bad boys. Hundreds of animated models show actions like adduction, pronation, flexion, and much more--and you can interact with them in motion!               

- Media section: Video presentations by physical therapists, doctors, and researchers. Use them to review normal anatomy and common conditions. Show your patients! Teach your students!

- Encyclopedic reference content for better understanding: Want to know how to pronounce a ligament's name? Want to know how a muscle is innervated? Access detailed definitions for all structures, including details on origins and insertions, muscle actions, blood supply, and  innervation. Don't forget audio pronunciations and Latin names, plus over 400 quiz questions to test your knowledge!

This app provides dozens of models of common musculoskeletal injuries and conditions, including: 
- Cervical spondylosis 
- Lateral epicondylitis 
- Medial epicondylitis 
- Carpal tunnel syndrome 
- Wrist sprain 
- Rotator cuff tear 
- Sciatica 
- Trochanteric bursitis 
- Hip labral tear 
- Osteoarthritis of the hip 
- Knee sprain 
- Torn meniscus 
- Osteoarthritis of the knee joint 
- Achilles tendinosis 
- Plantar fasciitis 
- Shin splints 
 
* All content is organized specifically for healthcare professionals and students treating or studying musculoskeletal function and common conditions. 
 
Content is organized by type (3D models, interactive animations, pathologies, and quizzes) and by body region (head and neck, upper limbs, shoulder, abdomen, spine & back, pelvis, and lower limbs). 
* View 600+ muscles, 200+bones, and hundreds of ligaments, bursae, and 
peripheral nerves. 
* Study hundreds of moving muscles with the library of muscle action animations. 
* Study over 1,000 pins that demarcate origins and insertions on muscles or bones. Bone paint is used to show areas of muscle attachment. 
* Test your knowledge by taking dozens of muscle and bone anatomy quizzes. 
 
You can customize views by adding the anatomy you want from several body systems and hiding the rest. Plus you can annotate and share. 
* Create a library of favorites in one tap. 
* Use notes feature to annotate images. 
* Export screenshots to use in presentations, share with colleagues, students, or patients. 
* Share favorite views with other Muscle Premium users. 
 
Muscle Premium is recommended by physical therapists, sports trainers, massage therapists, and orthopedic specialists. 

iMedical Apps calls Muscle Premium “incredibly impressive at highlighting complex anatomy…The combination of impressive detail and 3D graphics mean this app is a market leader.”

Have any other questions or comments? 
Email us at support@visiblebody.com.  
 
About Visible Body 
Visible Body creates innovative, interactive 3D human anatomy and physiology content and apps. If you love the human body, you'll love us! Healthcare professionals and students use our apps to make learning and teaching anatomy and physiology visual and engaging. Over a million people have used our products. Founded in 1996, Visible Body also operates as Argosy Publishing."
49,Battlefield™ Companion,"Stay updated on the go with Battlefield™ Companion! Check your stats and customize your loadout. Design your own emblem and catch up on the latest news and videos.

Battlefield Companion is a complete overhaul of the Battlelog App.  You can access the old Battlelog App experience under the MORE menu or by visiting m.battlelog.com.

Feature highlights:

CAREER
Your new profile and identity of Battlefield. Here you can explore your stats and achievements and see how your friends are doing. 

CUSTOMIZATION
Explore and customize your soldier’s loadout while on the go - with full support for Battlefield 1.

EMBLEMS
The emblem editor and gallery makes designing awesome emblems for use in Battlefield a snap. Smart tools like the grid tool, zoom, and cropping makes the editing experience faster than ever.

FRIEND LIST
The friend list makes keeping tabs on your Battlefield friends easy. Get a daily summary of when your friends are playing or follow that favorite friend to know exactly when he or she is playing.

Supported games are Battlefield 1 and Battlefield 4.


Requires acceptance of EA’s Privacy & Cookie Policy and User Agreement."
50,Hay Day,"Best. Farm. Ever. Welcome to Hay Day, the most popular farming game on mobiles and tablets, number one in 122 countries.

Learn the lay of the land, tend to your crops, and trade goods with neighbors and friends. It’s a real special place where the crops never die even though it never rains. Sharing the farm with our quirky animals only makes things more fun!

PLEASE NOTE! Hay Day is free to download and install. However, some game items can also be purchased for real money. If you don't want to use this feature, please disable in­-app purchases in your device's settings. A network connection is also required.

~~~~~~~~~~
FEATURES
~~~~~~~~~~
* Grow and customize your farm
* Trade crops and fresh goods with neighbors and friends through your very own roadside shop
* Fulfill orders with your truck and even by steamboat
* Repair your dock and cast your lure to fish the waters
* Build your own town and welcome visitors

~~~~~~~~~~~
MEDIA MENTIONS
~~~~~~~~~~~

Hay Day‘s presentation is fairly cinematic for a mobile game. It’s eye candy. The controls are also smooth, non intrusive, and use the iPhone’s touch screen well.

http://www.gamezebo.com/2012/07/03/hay-day-review/

Watching your crops grow and your twee factories spew out products is a quietly pleasing experience.

http://www.pocketgamer.co.uk/r/Multiformat/Hay+Day/review.asp?c=42764

~~~~~~~~~~~
PLAYER REVIEWS
~~~~~~~~~~~

5/5 The artwork is phenomenal, clear, missing no details and certainly comical.

5/5 The animals are super cute and nothing ever dies. No pressure if you can’t play for a few days.

5/5 I love this game I play it everyday to build my farm up. I love how it branches out from just a farm to fishing and mining. Overall very fun game :)

5/5 Great game. Love the options!! Got this game for my iPad and it out does any other farm game I have played. Wonderful design and thought process.

5/5 A “happy feel good” game! 6 stars from this girl!

~~~~~~~~~~
SUPPORT
~~~~~~~~~~

Neighbor, are you having problems? Visit https://supercell.helpshift.com/a/hay-day/?l=en or contact us in game by going to Settings > Help and Support.

Under our Terms of Services and Privacy Policy, Hay Day is allowed for download and play only for persons 13 years or over of age.

Privacy Policy:
http://www.supercell.net/privacy-policy/

Terms of Service:
http://www.supercell.net/terms-of-service/

Parent's Guide:
http://www.supercell.net/parents/"
51,AnatomyMapp,"The acclaimed Trail Guide to the Body musculoskeletal anatomy resource is now available in an interactive app. This user-friendly tool is beneficial for students and practitioners in manual therapy, physical therapy, athletic training, pilates and other professions that require musculoskeletal anatomy knowledge.

AnatomyMapp® offers a wide array of features to help you ace your next exam or educate your clients:

• All 364 cards from the Trail Guide to the Body flashcards. These include 144 muscles, 61 bone and bony landmarks, 50 joint and ligaments and 64 common movements, including the synergists and antagonists
• Pins that identify muscles, bones and bony landmarks
• Navigation directly from muscle groups to individual muscles
• Multiple options to test your musculoskeletal anatomy knowledge by: 1) answering multiple-choice questions (muscle cards only) 2) locating specific structures, and 3) identifying AOIN points. The quiz questions were developed from the Trail Guide to the Body workbook.
• Bookmark specific cards you can review later
• Table of Contents with an easy-to-search capability. You can search on all cards or only cards that you have bookmarked
• Page reference on each card for the Trail Guide to the Body textbook
• Zoom into illustrations for more detail using pinch touch
• Flip the cards to view illustrations on one side, details on the other (movement and muscle cards only)
• Navigate directly from muscle groups to individual muscles
• Help button to guide you through options available in the app

A great on-the-go educational tool. Designed to be viewed in portrait mode. 

What do you think? If you have any comments or suggestions we’d like to hear from you at feedback@booksofdiscovery.com
__
More than 1,700 bodywork schools have chosen Trail Guide to the Body products for their students. It is sold in 38 countries. AnatomyMapp® is a registered trademark of Books of Discovery."
52,Subway Surfers,"Presented by Kiloo Games and Sybo Games.

DASH as fast as you can!
DODGE the oncoming trains!

Help Jake, Tricky & Fresh escape from the grumpy Inspector and his dog.

- Grind trains with your cool crew!
- Colorful and vivid HD graphics!
- Hoverboard Surfing!
- Paint powered jetpack!
- Lightning fast swipe acrobatics!
- Challenge and help your friends!

Join the App Store's most daring chase!

A Universal App with HD optimized graphics for retina resolution.

Subway Surfers is compatible with iPhone 4, iPod 5, iPad 2 or newer.

iOS 7 or later OS version is required."
53,Baldur's Gate: Enhanced Edition,"The dawn is especially cruel this morning...

For as long as you can remember your view of the world has been limited to the heavily fortified walls of Candlekeep. Your foster father, Gorion, has done everything in his power to protect you, and keep you out of harm’s way.

All of that is about to change. Forced to leave your home under mysterious circumstances, you find yourself drawn into a conflict that has the Sword Coast on the brink of war. An iron shortage of unknown origin threatens to plunge the city of Baldur’s Gate into conflict with Amn. Meanwhile, there is something else at work, far more sinister than you can even begin to fathom...

Since its release in 1998, this classic saga of mystery, intrigue, and adventure has set the standard for Dungeons & Dragons™ computer roleplaying games. Customize your hero’s traits and abilities, recruit a party of brave allies, and explore the far corners of the Sword Coast in your search for adventure, profit… and the truth.

Baldur's Gate: Enhanced Edition contains the original 60-hour epic, as well as the following expansions:

* Tales of the Sword Coast: Explore the fabled Durlag’s Tower and more locations from the original Baldur’s Gate expansion.

* The Black Pits: You have been captured and forced to fight in Baeloth’s marvelous arena. A myriad of monsters await, as well as countless other adventurers who face the same fate. Maim, murder, and maul your way to freedom…if you can!

* Brothers Lost: Lend your aid to Rasaad yn Bashir, the Sun Soul Monk, as he scours the Cloud Peaks in search of his lost brother.

* Neera and the Red Wizards: Save the wild mage Neera from the cruel machinations of Thay’s dreaded Red Wizards.

* Path of the Bloodied: Join the blackguard Dorn Il-Khan in taking revenge against those who betrayed him in Luskan.

* Gallery of Heroes: Reimagine your character with eleven never-before-seen character portraits from acclaimed Icewind Dale artist Jason Manley!

* New professionally recorded voice sets to choose from to further customize your character

* Discover countless improvements we’ve made to the original game, including high-resolution fonts, an improved interface, dynamic zooming, and more!

We’re making improvements all the time; join the discussion on our official forums to see what’s coming next!"
54,Fuel Rewards® program,"The Fuel Rewards® program (aka Fuel Rewards Network or FRN) is a free loyalty program that helps you save money on fuel when you shop, dine, book travel, buy groceries and more. Rewards add up fast and are cumulative! There is no limit to how many rewards you can earn.  Redeem your rewards at over 11,000 participating Shell stations nationwide and other select stations. (Max of 20 gallons per fill-up.)
 
The Fuel Rewards mobile app helps members FIND nearby locations to earn and redeem Fuel Rewards savings. Some offers require activation. You can easily activate offers using the Fuel Rewards mobile app.

NOTE: You do not earn rewards when you buy fuel.
 
HOW DO I EARN REWARDS?
Some offers must be activated prior to earning. Use the mobile app to easily activate these offers. 
** Dine: Earn 10¢/gal for every $50 you spend dining with a linked MasterCard, Visa, or American Express at more than 10,000 participating restaurants, clubs and bar locations nationwide. 
** Shop:  Earn 5¢/gal (or more) in Fuel Rewards savings for every $50 spent at select merchants and for every $100 spent cumulatively within select MasterCard quarterly offers with a linked MasterCard credit or debit card at participating merchants. 
** Travel: Earn 5¢/gal for every $50 spent using any payment type when you book travel, including hotels, and car rentals, through the Fuel Rewards program.
** At Shell: Earn cents-per-gallon savings for purchasing snacks, beverages, car washes and more using any payment type inside participating Shell stations.  Simply show your member ID or Fuel Rewards card before paying.
** More: Find additional promotions at select regional grocery stores, other affiliated programs, and online at fuelrewards.com.

GET STARTED
** Download the Fuel Rewards app.
** Log in or join the FREE Fuel Rewards program.
** For ease of earning, link MasterCard, Visa, or American Express debit or credit cards. (as many as you like)
** Find and shop at participating restaurant and merchants, or book travel through Fuel Rewards travel.
** Keep track of your reward balance and recent transactions with the app. 
** REDEEM your earned rewards at participating Shell stations and other select locations. Use the map to find your nearest station.
** Enter your member ID (or swipe Fuel Rewards loyalty card) at the pump before you pay 
** Watch the pump roll back. Fuel Rewards members always save at least 3¢ per gallon at participating Shell stations.
 
Shell is the official fuel provider of the Fuel Rewards program. Participation varies by market.
MasterCard is the preferred payment card of the Fuel Rewards program."
55,Tom Loves Angela,"Romance is in the air for Tom and Angela!

Talking Tom has climbed all the way up to the rooftop to get a glimpse of Angela. Tom will repeat what you say to Angela so help him woo her by singing a song, having a chat using the innovative “intelligent” chat function and by giving her gifts!

But watch out for Ginger – he’s trying to mess things up for Tom!

LEGAL NOTICE: We are collecting anonymized data log files containing details on the usage of the app. More details: http://outfit7.com/privacy/

IMPORTANT
iOS 7 users must allow microphone access or Talking Tom will not be able to hear you and talk back.

*** HOW TO PLAY ***
- Talk to Tom and he’ll repeat your words to Angela.
- Poke Tom or Angela and see how they react.
- Swipe Tom and he’ll blow a kiss.
- Shake the device to create an earthquake.
- Blow into the microphone to make the wind blow.
- Press the “Letter” button to enter chat mode and have a conversation with Angela.
- Press the Song button to hear Tom and Angela sing a song together.
- Press the “Flower Pot” button to see Ginger throw a pot on Tom's head.
- Press the Gift button to see Tom give Angela gifts.
- Record funny videos and share them with your friends.

*** HOW TO CHAT ***
- Press the Letter button to enter chat mode.
- Use the keyboard to type what you want to say or use dictation (English Language Only).
- Tom will then give your message to Angela.
- Angela will reply via text and voice (in English).
- Chat to Angela about anything you like: love, dating, friends, school, fashion, celebrities, movies, music, TV, books, hobbies, food, travel, and pets etc.
- Start trivia quizzes by typing any of these commands into the chat window: quiz, give me a quiz, play quiz.
- Get Angela to tell you a joke by typing “tell me a joke”. 

This app is PRIVO certified. The PRIVO safe harbor seal indicates Outfit7 has established COPPA compliant privacy practices to protect your child’s personal information. Our apps do not allow younger children to share their information.

This app contains:
- Promotion of Outfit7's products and contextual advertising
- Links that direct customers to our websites and other Outfit7 apps
- Personalization of content to entice users to play the app again
- Watching videos of Outfit7's animated characters via YouTube integration

Terms of use: http://outfit7.com/eula/
Privacy policy: http://outfit7.com/privacy-policy/"
56,Flow Free,"Flow Free® is a simple yet addictive puzzle game.

Connect matching colors with pipe to create a Flow®. Pair all colors, and cover the entire board to solve each puzzle. But watch out, pipes will break if they cross or overlap!

Free play through hundreds of levels, or race against the clock in Time Trial mode. Gameplay ranges from simple and relaxed, to challenging and frenetic, and everywhere in between. How you play is up to you. So, give Flow Free a try, and experience ""mind like water""""!"
57,Storm Shield,"Named by Time.com's @Techland as one of the best weather apps for Your iPhone. And now the first app to give you severe weather alerts for your Apple Watch.

Severe weather alerts for your exact location. Storm Shield Weather Radio gives you storm-based alerts for tornado, hurricane, flood, thunderstorm, winter storms and other life-threatening weather events via voice and push notification.

Storm-based or polygon alerts help reduce false alarms by alerting you to severe weather based on your exact location within a county. Many other products still use county-based alerts (meaning you'd get an alert even if your location in the county is not within the threatened area).


What people are saying:
• Storm Shield ""can keep you appraised of everything from severe thunderstorms to flash flooding... this kind of information can be a life-saver"
58,Photo Editor by Aviary,"A magical way to create and share beautiful photos.

One of the New York Times' ""Best Apps for iOS 7"""""
59,Wish - Shopping Made Fun,"Over 100 million people are getting trending items 50-80% cheaper than what you pay at the local mall. Get the hottest products at incredible prices delivered directly to your door. Wish is the #1 shopping mall in Europe and North America allowing you to browse a worldwide selection of trending fashion, accessories, and electronics directly at your fingertips."
60,Bad Piggies,"From the creators of Angry Birds: a game from the PIGS’ point of view! OiNk! Build makeshift contraptions from a huge collection of parts and make it to the goal without blowing your vehicle to pieces!
 
 IGN's ""Best Mobile Game of 2012"""" Winner!"
61,Dr. Panda Hospital,"* USA TODAY – “The sick animals, while sad, are adorable and so appreciative of your child's doctoring. […]This is a great app to play before heading off to your next doctor's appointment.”

* Common Sense Media – “Easy, intuitive app teaches young kids medical care basics. […] Overall, this is a cute app for simple learning fun.”

* TheiMums - ""I really liked that this app has your child take care of the patient from the time they enter the door to the time that they are well."""""
62,Hungry Shark Evolution,"Take control of a very Hungry Shark and go on a frantic ocean rampage!
Survive as long as possible by eating everything and everyone in your way! 
Explore underwater worlds and evolve iconic sharks like the Great White and Megalodon!

In this action-packed aquatic adventure:

• Unlock more than a dozen unique sharks and other fintastic creatures
• Explore free-roaming worlds both above and below the waves
• Enjoy jawsome 3D graphics and sound effects
• Discover and devour mysterious creatures of the deep
• Recruit Baby Sharks to boost your predatory powers
• Equip awesome accessories like Lasers, Jetpacks and Top Hats!
• Find and collect sunken Bonus Objects
• Sink your teeth into loads of challenging missions
• Activate Gold Rush to survive longer and score higher
• Take part in regular in-game events to score limited edition prizes
• Challenge your friends via Facebook social features
• Attack with intuitive touch or tilt controls
• Play offline wherever you are – no Wi-Fi needed!
• Synchronize your game easily across iOS devices

Hungry Shark Evolution is regularly updated with new features, content and challenges to keep you hooked!

Compatible with iOS 7.0 and above.

This app contains In-App Purchases which allow you to buy Gem and Coin currency which can be spent on upgrades and accessories. Gems and Coins can also be collected in game without requiring purchase, or by watching video advertisements from the Treasure screen.

This game contains advertising. 
Advertising is disabled if you make any purchase.

Like on Facebook: www.facebook.com/HungrySharkEvolution
Follow on Twitter @HungrySharkEvo
Subscribe on YouTube: http://youtube.com/FutureGamesOfLondon
Need support? Have some feedback for us? Contact: support@fgol.co.uk"
63,NBC Sports,"Watch thousands of live sporting events airing on NBC, NBCSN, Golf Channel, and more... LIVE with the NBC Sports app. Download now on your iOS device.
 
STREAM LIVE EVENTS INCLUDING:
• NFL Sunday Night Football and Thursday Night Football
• NHL Regular Season and Stanley Cup Playoff games
• PGA Tour
• Premier League (soccer)
• NASCAR Sprint Cup and Xfinity Series races
• Formula 1 (F1)
• French Open (tennis)
• Indy Car
• Triple Crown (Kentucky Derby, Preakness Stakes, and Belmont Stakes)

REGIONAL CONTENT:
• NBA: 76ers, Bulls, Celtics, Kings, Warriors, and Wizards
• NHL: Blackhawks, Capitals, Flyers, and Sharks
• MLB: Athletics, Cubs, Giants, Mets, Phillies, and White Sox 

Sign in with your TV provider username and password to watch your favorite sports anytime, anywhere, on any screen with the NBC Sports app.

FEATURES:
• Live Events: watch marquee NBC Sports events LIVE! 
• Video on Demand: access video clips, preview upcoming events, and check out highlights from past events 
• Online coverage schedule: browse the online schedule and set event reminders 
• Full Event Replays: relive all the great moments with full event replays 
• Push Notifications: receive reminder alerts for upcoming events
• Alternate camera angles, synchronized statistics, and extra content available for some events

FULL AIRPLAY SUPPORT:
Stream your favorite shows to your TV or monitor using AirPlay.

ACCESSIBILITY:
NBC Sports is proud to offer closed captioning support on shows with a “CC” icon in the player controls. Just touch to enable.

The vast majority of live streaming content on the NBC Sports app will only be available to authenticated cable, satellite and telco customers via TV Everywhere. Further instructions are provided in the app settings section.

NBC Sports video is only accessible in the USA and certain U.S. territories. The application requires a 3G, 4G, LTE or WiFi network data connection. Watching video over a 3G or 4G connection may affect your wireless data plan. Data charges may apply. The video quality will adapt based on your data connection.

Access to the NBC Sports app’s live video is determined by your TV provider and package, and in some instances, your Internet service provider. The providers below currently offer access to NBC Sports live video:
• AT&T U-verse
• Cablevision
• Charter
• Comcast XFINITY
• Cox
• DirecTV
• DISH
• Optimum
• Time Warner Cable
• Verizon FiOS TV
• Plus many more providers"
64,Bad Piggies HD,"From the creators of Angry Birds: a game from the PIGS’ point of view! OiNk! Build makeshift contraptions from a huge collection of parts and make it to the goal without blowing your vehicle to pieces!
 
 IGN's ""Best Mobile Game of 2012"""" Winner!"
65,Amazon Prime Video,"Stream and download popular movies and TV shows including Amazon exclusives like The Grand Tour, The Man in the High Castle, and Emmy award winner Tumble Leaf.  

Customers in the US can also use this app to watch videos purchased or rented on Amazon, and videos included with a subscription paid for on Amazon such as HBO, SHOWTIME and STARZ. 
 
App features:
-Download movies and TV shows over Wi-Fi or cellular to watch anywhere, anytime.
-Prime members in India can enjoy hundreds of top Bollywood and regional Indian hits like Sultan, Baar Baar Dekho, Kabali, Dhoom series and more!
-View IMDB data about the actors, songs and trivia related to your videos during playback with X-Ray
-Stream the first episode of select TV shows for free. First Episode Free videos include advertising before and during your videos
-Watch on your Apple TV using AirPlay (requires Apple TV 2nd generation or later) (US only)
-Access hundreds of thousands of movies and TV episodes you bought or rented including new release movies or the latest TV programming, with the ability to download titles for offline viewing (US only)
-Watch on your TV using HDMI and your Apple Digital AV Adapter 
-Stream the first episode of selected TV shows for free. First Episode Free videos include advertising before and during your videos (US only)
-Add videos to Your Watchlist from any Amazon Prime Video compatible device for later viewing 
-Start watching the next episode of the show you are currently streaming automatically with Auto Play.

This app is designed for an unmodified version of iOS."
66,Can Knockdown 3,"Be accurate! Be smart! Be quick!

Challenge your aim, hone your precision, and push your puzzle-solving skills to the next level in this insanely addictive game. This installment takes the critically acclaimed Can Knockdown series to all new heights- the physics-based carnival gameplay you know and love- and adds unique puzzles, adrenaline-charged challenges, and even more explosive action!

----------------------
Press about CK3:
----------------------

""A near perfect difficulty curve"""" – 148Apps.com"
67,Traffic Racer,"Traffic Racer is a milestone in the genre of endless arcade racing. Drive your car through highway traffic, earn cash, upgrade your car and buy new ones. Try to be one of the fastest drivers in the global leaderboards.

KEY FEATURES
- Stunning 3D graphics
- Smooth and realistic car handling
- 35+ different cars to choose from
- 5 detailed environments: suburb, desert, snowy, rainy and city night
- 5 game modes: Endless, Two-Way, Time Trial, Police Chase and Free Ride
- Basic customization through paint and wheels
- Over 15 different models for traffic 
- Game Center Leaderboards and Achievements
- iOS 7 MFi controller support
- Rich language support

GAMEPLAY
- Tilt or Touch to steer
- Touch gas button to accelarate
- Touch brake button to slow down

TIPS
- The faster you go the more scores you get
- When driving over 100 kmh, overtake cars closely to get bonus scores and cash
- Driving in opposite direction in two-way mode gives extra score and cash

The game will be updated constantly. Please rate and give your feedback for further improvement of the game.

TRAILER
* http://youtu.be/E4bpHZLRhPY

FOLLOW US
* facebook.com/trafficracergame
* twitter.com/TrafficRacer"
68,Tinder,"The world’s hottest app – Forbes.

10 billion matches later, Tinder has changed the way people meet around the world. It’s so much more than a dating app. Tinder is a powerful tool to meet people, expand your social group, meet locals when you’re traveling and find people you otherwise never would have met. Making new connections on Tinder is easy and fun—just Swipe Right to Like someone, or Swipe Left to pass. If someone likes you back, It’s a Match! Chat online with your matches, step away from your phone, get out and experience something new in the real world. It’s that simple!

•	Tinder Social—It’s all about going out with friends and meeting new people. Invite your friends to  go out, then swipe and match with other groups who want to meet up. Start the party with group chat, make plans and get out tonight! 

•	When you see an individual or group you really want to connect with, tap the blue star or Swipe Up to send a Super Like

•	Upgrade to Tinder Plus for premium features, including: Passport to connect with people anywhere around the world, Rewind to give someone a second chance, one free Boost per month to be the top profile in your area for 30 minutes, and additional Super Likes to stand out from the crowd

-----------------------------------

If you choose to purchase Tinder Plus, payment will be charged to your iTunes account, and your account will be charged for renewal within 24-hours prior to the end of the current period. Auto-renewal may be turned off at any time by going to your settings in the iTunes Store after purchase. Current Tinder Plus subscription price starts at $9.99 USD/month. Prices are in U.S. dollars, may vary in countries other than the U.S. and are subject to change without notice. No cancellation of the current subscription is allowed during the active subscription period. If you don’t choose to purchase Tinder Plus, you can simply continue using Tinder for free."
69,True Skate,"The Official Street League Skateboarding Mobile Game.

#1 game in 80 countries. Loved by skaters all over the world.

Touch Arcade review - 4.5/5 - ""True skate is clearly something special"""""
70,WWE,"Take WWE with you wherever you go – any time, day or night – with the official WWE app for your iPhone, iPod, or iPad.

Now, in addition to the latest WWE videos, news and thousands of photos, you can use the WWE App as your exclusive portal to WWE Network – a 24/7 streaming service with both scheduled programming and a massive, on-demand library.

Only on WWE Network, you’ll see every WWE live pay-per-view event, including WrestleMania, groundbreaking original series, reality shows and documentaries. You’ll also be able to explore sports-entertainment’s most comprehensive video-on-demand library, featuring every WWE, WCW and ECW pay-per-view ever – uncut and uncensored – plus, classic matches and replays of Raw and SmackDown episodes.

Join your fellow WWE Universe members at the next WWE Live Event near you – for which you can find complete details within the WWE App. Explore our full schedule of events around the globe, find out which Superstars will be in action, set reminders and order your tickets for the experience of a lifetime.

The WWE App provides instant access to your favorite WWE Superstars, Divas and Legends. View Superstar profiles for a quick look at extensive career milestones, biographies, video highlights and Twitter feeds.

If you want to outfit yourself like your favorite Superstar, enjoy the brand-new WWE Shop experience right from your device, where official WWE Shop merchandise is available at the swipe of your fingertip.

The WWE App is your key to unlocking a revolution!"
71,ClassDojo,"Ready to build an amazing classroom community?

ClassDojo is a beautiful, safe, and simple communication app for teachers, parents, and students. 

* Teachers can encourage students for any skill, like “Working hard” and “Teamwork”
* Teachers can bring parents into the classroom experience by sharing photos, videos, and announcements
* Teachers can also safely and instantly message with any parent
* Parents see their child’s updates at home, as well as a stream of photos and videos from school

ClassDojo helps teachers build a positive classroom culture by encouraging students and communicating with parents.

ClassDojo is free for everyone, and K-12 teachers, parents, students, and school leaders in over 180 countries have joined. It works on all devices, like iPhones, iPads, tablets, phones, and smartboards.

""I’ve divided my time teaching as B.C. and A.C.: before ClassDojo"
